"intercept","beta1","beta2","beta3","adj.r.sq","d","kernel","lugsail","alpha"
"6.63489660102121","23.0690333915164","41.6641086953869","-23.863189185095","0.999958906454622","1","Bartlett","Mother","0.01"
"4.60517018598809","6.80812303838533","-6.43073012608092","2.51061133739266","0.99990373793197","2","Bartlett","Mother","0.01"
"3.78162224338146","6.08814327202605","-6.06110818502244","2.42476986709411","0.999967157520496","3","Bartlett","Mother","0.01"
"3.31917603399691","5.80922932202311","-6.08968156741323","2.52829422819728","0.999960743109293","4","Bartlett","Mother","0.01"
"3.0172544938778","6.23829482114729","-7.48775751424197","3.37852321586661","0.999898192505784","5","Bartlett","Mother","0.01"
"2.80198230496182","6.17890889111652","-7.79627419609167","3.64422802711167","0.999853100221489","6","Bartlett","Mother","0.01"
"2.63932955808319","6.26124522866764","-8.15441021114709","3.84441178163237","0.999689887661306","7","Bartlett","Mother","0.01"
"2.5112793787079","6.37377351889714","-8.65593502520218","4.19322292217321","0.999630194732137","8","Bartlett","Mother","0.01"
"2.40733270371799","6.47026889557519","-9.0059738852061","4.43247220057582","0.999345832703966","9","Bartlett","Mother","0.01"
"2.32092511589544","6.64146158758325","-9.5435329613365","4.76843508118614","0.999197314255124","10","Bartlett","Mother","0.01"
"2.24772457375621","6.72399700277015","-9.89650528110523","5.00175706910342","0.999016596363967","11","Bartlett","Mother","0.01"
"2.18474727546132","6.79481350043554","-10.1856122452398","5.18940650360173","0.998872634743081","12","Bartlett","Mother","0.01"
"5.02388618731488","15.10544417605","24.676294993827","-12.3735502151608","0.999962864228654","1","Bartlett","Mother","0.025"
"3.68887945411394","4.7043693550449","-3.5256127683199","1.10660008785388","0.99997504864262","2","Bartlett","Mother","0.025"
"3.11613453483205","4.62939154144823","-4.24669391101693","1.60456275321843","0.99998302119188","3","Bartlett","Mother","0.025"
"2.78582169546945","4.89405712172756","-5.19014418437742","2.16269079894625","0.999957241877853","4","Bartlett","Mother","0.025"
"2.566500398806","4.86555964928386","-5.32585421573871","2.25605726654202","0.999935429295812","5","Bartlett","Mother","0.025"
"2.40822922257465","4.92050235621413","-5.76765621860999","2.54404010491962","0.999939093532142","6","Bartlett","Mother","0.025"
"2.28753775351847","5.10404305909337","-6.41075001954907","2.96575310938182","0.99984164363054","7","Bartlett","Mother","0.025"
"2.19181826743558","5.28751078260967","-6.90787260538641","3.26787915490399","0.999716386672376","8","Bartlett","Mother","0.025"
"2.11364086651574","5.4926225731841","-7.46074883130608","3.60339630573051","0.999561588050311","9","Bartlett","Mother","0.025"
