"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.049,0.0107775,4.9301044794795e-05
"2",0.3,0.08,0.0163725,0.000102887881631632
"3",0.5,0.0729999999999998,0.039335,0.000243188463463464
"4",0.7,0.0740000000000001,0.089385,0.000708855630630633
"5",0.8,0.104,0.1444125,0.00200670529904905
"6",0.9,0.142,0.274225,0.00726592780280282
"7",0.95,0.172,0.391,0.00602399899899899
"8",0.96,0.169,0.4068275,0.00510026676051053
"9",0.97,0.208,0.4242625,0.00357969203578578
"10",0.98,0.255,0.4319125,0.00261682792167167
"11",0.99,0.298,0.4422675,0.00188392361736736
