"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.06,0.0108425,4.71811248748748e-05
"2",0.3,0.07,0.015595,9.84944694694686e-05
"3",0.5,0.075,0.0394975,0.000262391134884886
"4",0.7,0.079,0.089125,0.000701260635635632
"5",0.8,0.0920000000000001,0.14659,0.00183712152152152
"6",0.9,0.125,0.28015,0.00839314564564565
"7",0.95,0.16,0.388348010752688,0.00707123658220308
"8",0.96,0.171,0.405034637834637,0.00565924440802873
"9",0.97,0.195,0.411682337838376,0.00609380711768216
"10",0.98,0.22,0.417264003173,0.00650466679609405
"11",0.99,0.25,0.408408478311832,0.0105894363494841
