"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.068,0.0100475,3.62402339839838e-05
"2",0.3,0.0780000000000001,0.0115025,4.79967404904903e-05
"3",0.5,0.083,0.01423,8.27148148148144e-05
"4",0.7,0.124,0.0175325,0.000136329022772774
"5",0.8,0.146,0.0189475,0.000165301295045045
"6",0.9,0.196,0.020515,0.000205490265265264
"7",0.95,0.162,0.0205375,0.000200142486236237
"8",0.96,0.17,0.02117,0.00020883993993994
"9",0.97,0.145,0.0221075,0.00023030750125125
"10",0.98,0.149,0.02228,0.000209273373373374
"11",0.99,0.132,0.0214225,0.000212194938688689
