"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.069,0.009795,3.40420170170174e-05
"2",0.3,0.104,0.01939,0.000114154554554554
"3",0.5,0.142,0.0565225,0.000258997240990992
"4",0.7,0.225,0.1298275,0.000725014007757759
"5",0.8,0.338,0.207275,0.00171540227727728
"6",0.9,0.567,0.362575,0.00524850538038038
"7",0.95,0.72,0.4316125,0.0026222533470971
"8",0.96,0.771,0.43987466246066,0.00199391744528201
"9",0.97,0.777,0.438342870698924,0.00227836377887303
"10",0.98,0.802,0.431493808805573,0.00435329808921309
"11",0.99,0.777,0.407626324572501,0.0110914623437026
