"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.069,0.009695,3.42912662662667e-05
"2",0.3,0.0949999999999998,0.011055,4.89108858858856e-05
"3",0.5,0.118,0.0148875,9.16977915415414e-05
"4",0.7,0.17,0.0178275,0.000147333827577577
"5",0.8,0.18,0.0193875,0.000180574167917918
"6",0.9,0.261,0.021435,0.000217283058058058
"7",0.95,0.238,0.02274,0.000236754154154154
"8",0.96,0.237,0.022885,0.000242757032032031
"9",0.97,0.217,0.022105,0.00022475623123123
"10",0.98,0.197,0.023275,0.00024857294794795
"11",0.99,0.192,0.023,0.000241466466466467
